Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",-117.2210,146.7485,90.0000,bottom
"C2","100nF","R_0603_1608Metric",-115.5700,142.2655,90.0000,bottom
"C3","1uF","R_0603_1608Metric",-115.4430,146.4055,90.0000,bottom
"C4","100nF","R_0603_1608Metric",-109.0930,146.3040,90.0000,bottom
"D1","LED GREEN","LED_1206_mill",-118.2460,149.9060,180.0000,bottom
"D2","BZX585-B5V6.115","D_SOD-523",-119.3800,147.0010,90.0000,bottom
"D3","LED RED","LED_1206_mill",-118.2460,138.9060,180.0000,bottom
"J1","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",-123.9460,144.4060,90.0000,bottom
"J2","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",-123.9460,144.4060,-90.0000,top
"J3","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",-104.5460,144.4060,-90.0000,bottom
"J4","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",-104.5460,144.4060,90.0000,top
"M1","HOLE","dira_3mm",-114.2460,136.9060,0.0000,top
"M2","HOLE","dira_3mm",-114.2460,151.9060,0.0000,top
"M3","HOLE","dira_3mm",-124.2460,136.9060,0.0000,top
"M4","HOLE","dira_3mm",-124.2460,151.9060,0.0000,top
"M5","HOLE","dira_3mm",-104.2460,151.9060,0.0000,top
"M6","HOLE","dira_3mm",-104.2460,136.9060,0.0000,top
"R1","130R","R_0603_1608Metric",-114.0205,149.6060,180.0000,bottom
"R2","10k","R_0603_1608Metric",-111.5060,139.3190,90.0000,bottom
"R3","10k","R_0603_1608Metric",-111.5060,149.4535,-90.0000,bottom
"R4","287R","R_0603_1608Metric",-114.0460,139.4460,180.0000,bottom
"R5","10k","R_0603_1608Metric",-109.4740,139.3190,90.0000,bottom
"R6","10k","R_0603_1608Metric",-109.4740,149.4535,-90.0000,bottom
"U1","MIC5504-3.3YM5","SOT-23-5",-118.2370,143.0020,90.0000,bottom
"U2","TCA4307","VSSOP-8_3.0x3.0mm_P0.65mm",-112.0140,144.4060,90.0000,bottom
